id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
749363500285804913,Home in Vancouver · ★4.90 · 1 bedroom · 1 bed · 2 shared baths,475965908,May,,Kerrisdale,49.23099,-123.16156,private room,60.0,1,76,2023-12-04,5.7,4,0,71,23-158496,4.9
749463145258836431,Home in Vancouver · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,255866156,Anna,,Marpole,49.21157,-123.14541,private room,89.0,30,8,2023-01-30,0.6,3,0,6,23-158658,4.75
749467839685420293,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,476405457,Paul And Brie,,Mount Pleasant,49.2595822,-123.0924196,entire home/apt,118.0,30,8,2023-10-31,0.64,3,111,7,,5.0
749485983333805437,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,255866156,Anna,,Marpole,49.21174,-123.14651,private room,89.0,30,4,2023-01-07,0.3,3,0,2,23-158658,5.0
749547956286953697,Condo in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,469469567,Cheryl,,Downtown,49.2817756,-123.1239209,entire home/apt,144.0,30,3,2023-11-18,0.53,1,323,3,,5.0
749558359977837653,Rental unit in Vancouver · 1 bedroom · 1 bed · 1 bath,265249066,Eva,,Downtown,49.29434,-123.13418,entire home/apt,130.0,30,1,2023-05-02,0.13,12,365,1,,4.799709437963944
749558579530757304,Serviced apartment in Vancouver · 1 bedroom · 2 beds · 1 bath,265249066,Eva,,West End,49.29253,-123.13437,entire home/apt,130.0,30,2,2023-08-22,0.39,12,272,2,,4.799709437963944
749710220230060023,Condo in Vancouver · ★4.67 · 1 bedroom · 1 bed · 1 bath,155836218,Noel,,West End,49.28517,-123.12425,entire home/apt,125.0,2,6,2023-12-05,0.56,1,150,6,23-255971,4.67
749925573670595678,Villa in Vancouver · ★4.78 · 1 bedroom · 2 beds · 1 shared bath,475169054,安佳,,Dunbar Southlands,49.24921,-123.18242,private room,102.0,1,17,2023-10-22,1.78,8,0,17,23-158471,4.78
749950638711456301,Home in Vancouver · ★4.92 · 1 bedroom · 1 bed · 2 shared baths,475965908,May,,Kerrisdale,49.23287,-123.16151,private room,71.0,1,83,2023-12-02,6.26,4,37,80,23-158496,4.92
